index, word, count, percent, cum
365,french, 42, 0.03, 68.76
366,fell, 42, 0.03, 68.79
367,whether, 41, 0.03, 68.82
368,taking, 41, 0.03, 68.85
369,rest, 41, 0.03, 68.88
370,present, 41, 0.03, 68.91
371,part, 41, 0.03, 68.94
372,observed, 41, 0.03, 68.97
373,four, 41, 0.03, 69.00
374,feet, 41, 0.03, 69.03
375,often, 40, 0.03, 69.06
376,moved, 40, 0.03, 69.09
377,lost, 40, 0.03, 69.12
378,give, 40, 0.03, 69.15
379,figure, 40, 0.03, 69.18
380,believe, 40, 0.03, 69.21
381,already, 40, 0.03, 69.24
382,almost, 40, 0.03, 69.27
383,vengeance, 39, 0.03, 69.29
384,spoke, 39, 0.03, 69.32
385,sound, 39, 0.03, 69.35
386,sir, 39, 0.03, 69.38
387,short, 39, 0.03, 69.41
388,quiet, 39, 0.03, 69.44
389,high, 39, 0.03, 69.47
390,english, 39, 0.03, 69.50
391,coach, 39, 0.03, 69.52
392,cannot, 39, 0.03, 69.55
393,bed, 39, 0.03, 69.58
394,bad, 39, 0.03, 69.61
395,along, 39, 0.03, 69.64
396,perhaps, 38, 0.03, 69.67
397,mother, 38, 0.03, 69.69
398,kind, 38, 0.03, 69.72
399,him”, 38, 0.03, 69.75
400,herself, 38, 0.03, 69.78
401,heads, 38, 0.03, 69.81
402,brother, 38, 0.03, 69.83
403,best, 38, 0.03, 69.86
404,because, 38, 0.03, 69.89
405,whole, 37, 0.03, 69.92
406,secret, 37, 0.03, 69.95
407,less, 37, 0.03, 69.97
408,leave, 37, 0.03, 70.00
409,large, 37, 0.03, 70.03
410,just, 37, 0.03, 70.05
411,crowd, 37, 0.03, 70.08
412,city, 37, 0.03, 70.11
413,black, 37, 0.03, 70.14
414,“is, 36, 0.03, 70.16
415,world, 36, 0.03, 70.19
416,sun, 36, 0.03, 70.22
417,slowly, 36, 0.03, 70.24
418,heavy, 36, 0.03, 70.27
419,five, 36, 0.03, 70.29
420,doubt, 36, 0.03, 70.32
421,across, 36, 0.03, 70.35
422,yourself, 35, 0.03, 70.37
423,year, 35, 0.03, 70.40
424,sure, 35, 0.03, 70.43
425,sight, 35, 0.03, 70.45
426,hours, 35, 0.03, 70.48
427,fountain, 35, 0.03, 70.50
428,end, 35, 0.03, 70.53
429,care, 35, 0.03, 70.55
430,table, 34, 0.03, 70.58
431,since, 34, 0.03, 70.60
432,eye, 34, 0.03, 70.63
433,country, 34, 0.03, 70.65
434,boy, 34, 0.03, 70.68
435,“he, 33, 0.02, 70.70
436,water, 33, 0.02, 70.73
437,silence, 33, 0.02, 70.75
438,shadow, 33, 0.02, 70.78
439,nor, 33, 0.02, 70.80
440,next, 33, 0.02, 70.82
441,making, 33, 0.02, 70.85
442,hill, 33, 0.02, 70.87
443,guard, 33, 0.02, 70.90
444,followed, 33, 0.02, 70.92
445,courtyard, 33, 0.02, 70.95
446,chair, 33, 0.02, 70.97
447,“no, 32, 0.02, 70.99
448,mean, 32, 0.02, 71.02
449,live, 32, 0.02, 71.04
450,horses, 32, 0.02, 71.06
451,ground, 32, 0.02, 71.09
452,fingers, 32, 0.02, 71.11
453,father’s, 32, 0.02, 71.14
454,“do, 31, 0.02, 71.16
455,yes, 31, 0.02, 71.18
456,turn, 31, 0.02, 71.20
457,thus, 31, 0.02, 71.23
458,sometimes, 31, 0.02, 71.25
459,sea, 31, 0.02, 71.27
460,rose, 31, 0.02, 71.30
461,read, 31, 0.02, 71.32
462,public, 31, 0.02, 71.34
463,indeed, 31, 0.02, 71.36
464,help, 31, 0.02, 71.39
465,heaven, 31, 0.02, 71.41
466,expression, 31, 0.02, 71.43
467,does, 31, 0.02, 71.46
468,certain, 31, 0.02, 71.48
469,call, 31, 0.02, 71.50
470,bear, 31, 0.02, 71.52
471,“how, 30, 0.02, 71.55
472,“a, 30, 0.02, 71.57
473,want, 30, 0.02, 71.59
474,so”, 30, 0.02, 71.61
475,remember, 30, 0.02, 71.63
476,raised, 30, 0.02, 71.66
477,pretty, 30, 0.02, 71.68
478,others, 30, 0.02, 71.70
479,lorry’s, 30, 0.02, 71.72
480,evremonde, 30, 0.02, 71.74
481,doctor’s, 30, 0.02, 71.77
482,citizen, 30, 0.02, 71.79
483,became, 30, 0.02, 71.81
484,added, 30, 0.02, 71.83
485,true, 29, 0.02, 71.85
486,that”, 29, 0.02, 71.88
487,tears, 29, 0.02, 71.90
488,spoken, 29, 0.02, 71.92
489,shook, 29, 0.02, 71.94
490,ready, 29, 0.02, 71.96
491,pass, 29, 0.02, 71.98
492,letter, 29, 0.02, 72.00
493,influence, 29, 0.02, 72.02
494,golden, 29, 0.02, 72.05
495,general, 29, 0.02, 72.07
496,gate, 29, 0.02, 72.09
497,earth, 29, 0.02, 72.11
498,darkness, 29, 0.02, 72.13
499,cold, 29, 0.02, 72.15
500,closed, 29, 0.02, 72.17
501,change, 29, 0.02, 72.20
502,blood, 29, 0.02, 72.22
503,“now, 28, 0.02, 72.24
504,white, 28, 0.02, 72.26
505,second, 28, 0.02, 72.28
506,jury, 28, 0.02, 72.30
507,fellow, 28, 0.02, 72.32
508,family, 28, 0.02, 72.34
509,evening, 28, 0.02, 72.36
510,either, 28, 0.02, 72.38
511,confidence, 28, 0.02, 72.40
512,“to, 27, 0.02, 72.42
513,turning, 27, 0.02, 72.44
514,touch, 27, 0.02, 72.46
515,tone, 27, 0.02, 72.48
516,republic, 27, 0.02, 72.50
517,person, 27, 0.02, 72.52
518,la, 27, 0.02, 72.54
519,him;, 27, 0.02, 72.56
520,gave, 27, 0.02, 72.58
521,fine, 27, 0.02, 72.60
522,fast, 27, 0.02, 72.62
523,echoes, 27, 0.02, 72.64
524,course, 27, 0.02, 72.66
525,chateau, 27, 0.02, 72.68
526,bring, 27, 0.02, 72.70
527,beyond, 27, 0.02, 72.72
528,appearance, 27, 0.02, 72.74
529,, 27, 0.02, 72.76
530,“good, 26, 0.02, 72.78
531,windows, 26, 0.02, 72.80
532,straight, 26, 0.02, 72.82
533,standing, 26, 0.02, 72.84
534,save, 26, 0.02, 72.86
535,really, 26, 0.02, 72.88
536,power, 26, 0.02, 72.89
537,point, 26, 0.02, 72.91
538,nature, 26, 0.02, 72.93
539,mine, 26, 0.02, 72.95
540,matter, 26, 0.02, 72.97
541,london, 26, 0.02, 72.99
542,honour, 26, 0.02, 73.01
543,glass, 26, 0.02, 73.03
544,forward, 26, 0.02, 73.05
545,everything, 26, 0.02, 73.07
546,england, 26, 0.02, 73.09
547,bright, 26, 0.02, 73.10
548,bent, 26, 0.02, 73.12
549,bench, 26, 0.02, 73.14
550,barsad, 26, 0.02, 73.16
551,also, 26, 0.02, 73.18
552,“there, 25, 0.02, 73.20
553,“in, 25, 0.02, 73.22
554,wish, 25, 0.02, 73.24
555,wild, 25, 0.02, 73.25
556,thousand, 25, 0.02, 73.27
557,themselves, 25, 0.02, 73.29
558,showed, 25, 0.02, 73.31
559,shoulder, 25, 0.02, 73.33
560,rising, 25, 0.02, 73.35
561,remained, 25, 0.02, 73.37
562,ran, 25, 0.02, 73.38
563,past, 25, 0.02, 73.40
564,means, 25, 0.02, 73.42
565,it’s, 25, 0.02, 73.44
566,it;, 25, 0.02, 73.46
567,interest, 25, 0.02, 73.48
568,however, 25, 0.02, 73.49
569,happy, 25, 0.02, 73.51
570,force, 25, 0.02, 73.53
571,bar, 25, 0.02, 73.55
572,used, 24, 0.02, 73.57
573,understand, 24, 0.02, 73.58
574,shoes, 24, 0.02, 73.60
575,seven, 24, 0.02, 73.62
576,reason, 24, 0.02, 73.64
577,is”, 24, 0.02, 73.66
578,full, 24, 0.02, 73.67
579,felt, 24, 0.02, 73.69
580,fear, 24, 0.02, 73.71
581,fallen, 24, 0.02, 73.73
582,each, 24, 0.02, 73.74
583,dreadful, 24, 0.02, 73.76
584,doors, 24, 0.02, 73.78
585,deep, 24, 0.02, 73.80
586,danger, 24, 0.02, 73.81
587,cap, 24, 0.02, 73.83
